latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
-2.68407,115.27225,331.22,0.47,0.4,2023-01-01,0559,N,VIIRS,n,2,286.06,2.68,D,0
-2.19591,115.95023,329.46,0.52,0.41,2023-01-01,0559,N,VIIRS,n,2,284.54,3.76,D,0
-2.47912,120.33295,334.63,0.33,0.55,2023-01-01,0559,N,VIIRS,n,2,267.59,3.14,D,0
-2.90845,121.5199,326.96,0.39,0.59,2023-01-01,0559,N,VIIRS,n,2,277.67,4.33,D,0
-2.46941,120.35997,330.15,0.33,0.55,2023-01-01,0559,N,VIIRS,n,2,269.88,2.38,D,0
-2.16171,115.58096,334.23,0.49,0.4,2023-01-01,0559,N,VIIRS,n,2,286.64,5.88,D,2
-2.15728,115.58481,333.93,0.49,0.4,2023-01-01,0559,N,VIIRS,n,2,287.31,5.33,D,2
-2.1571,115.58108,329.96,0.49,0.4,2023-01-01,0559,N,VIIRS,n,2,282.88,3,D,2
-2.48186,120.33236,335.31,0.33,0.55,2023-01-01,0559,N,VIIRS,n,2,268.07,2.95,D,0
-1.43892,114.12372,327.32,0.43,0.38,2023-01-01,0600,N,VIIRS,n,2,279.95,2.43,D,0
-1.47826,113.02876,329.07,0.4,0.37,2023-01-01,0600,N,VIIRS,n,2,286.15,2.06,D,0
-0.84506,116.93294,341.42,0.41,0.45,2023-01-01,0600,N,VIIRS,n,2,286.1,9.12,D,0
-1.33328,113.40509,339.25,0.41,0.37,2023-01-01,0600,N,VIIRS,n,2,279.27,6.5,D,0
-1.32986,113.40458,342.43,0.41,0.37,2023-01-01,0600,N,VIIRS,n,2,279.44,7.98,D,0
-0.77406,116.89936,332.29,0.41,0.45,2023-01-01,0600,N,VIIRS,n,2,285.43,2.3,D,0
-1.24711,113.30592,341.01,0.4,0.37,2023-01-01,0600,N,VIIRS,n,2,286.37,17.33,D,0
-1.24766,113.30229,332.29,0.4,0.37,2023-01-01,0600,N,VIIRS,n,2,282.25,17.33,D,0
-1.10759,114.09748,332.09,0.43,0.38,2023-01-01,0600,N,VIIRS,n,2,278.6,3.67,D,0
-1.9438,113.15195,325.94,0.4,0.37,2023-01-01,0600,N,VIIRS,n,2,276.95,2.03,D,0
-1.22304,113.02921,333.44,0.4,0.37,2023-01-01,0600,N,VIIRS,n,2,279.47,6.88,D,0
-0.69467,116.10902,332.93,0.55,0.43,2023-01-01,0600,N,VIIRS,n,2,293.97,4.37,D,0
-0.88884,114.66981,333.1,0.46,0.39,2023-01-01,0600,N,VIIRS,n,2,290.35,5.35,D,0
-0.85902,114.23653,337.51,0.44,0.38,2023-01-01,0600,N,VIIRS,n,2,277.35,3.67,D,0
-0.85548,114.236,346.83,0.44,0.38,2023-01-01,0600,N,VIIRS,n,2,278.32,12.71,D,0
-1.11693,112.19211,327.3,0.39,0.36,2023-01-01,0600,N,VIIRS,n,2,284.36,2.63,D,0
-0.60239,114.61565,331.25,0.46,0.39,2023-01-01,0600,N,VIIRS,n,2,292.09,1.3,D,0
-0.53677,114.17715,335.48,0.44,0.38,2023-01-01,0600,N,VIIRS,n,2,286.11,3.31,D,0
-0.84573,111.52824,327.89,0.38,0.36,2023-01-01,0600,N,VIIRS,n,2,288.69,1.75,D,0
-0.95241,110.38495,339.08,0.4,0.37,2023-01-01,0600,N,VIIRS,n,2,291.31,11.21,D,0
-0.90774,110.49791,345.01,0.39,0.36,2023-01-01,0600,N,VIIRS,n,2,299.03,7.51,D,0
-0.90438,110.49741,344.08,0.39,0.36,2023-01-01,0600,N,VIIRS,n,2,291.71,7.51,D,0
-0.90492,110.49386,331.39,0.39,0.36,2023-01-01,0600,N,VIIRS,n,2,291.54,7.51,D,0
-0.74343,110.79954,327.88,0.39,0.36,2023-01-01,0600,N,VIIRS,n,2,290.44,2.11,D,0
-0.7786,110.33218,330.05,0.4,0.37,2023-01-01,0600,N,VIIRS,n,2,287.91,3.4,D,0
-0.3127,112.54643,341.76,0.39,0.36,2023-01-01,0600,N,VIIRS,n,2,282.23,5.72,D,0
-0.30935,112.54592,351.5,0.39,0.36,2023-01-01,0600,N,VIIRS,n,2,282.09,5.72,D,0
0.41562,116.20519,349.78,0.38,0.44,2023-01-01,0600,N,VIIRS,n,2,292.74,9.23,D,0
-0.1925,110.2207,333.46,0.4,0.37,2023-01-01,0600,N,VIIRS,n,2,282.52,3.22,D,0
-0.19947,109.27438,352.32,0.42,0.38,2023-01-01,0600,N,VIIRS,n,2,292.33,12.61,D,0
-0.19543,109.27764,337.42,0.42,0.38,2023-01-01,0600,N,VIIRS,n,2,293.04,12.61,D,0
-0.196,109.27385,356.86,0.42,0.38,2023-01-01,0600,N,VIIRS,n,2,297.72,12.61,D,0
-0.19769,109.27409,367,0.42,0.38,2023-01-01,0600,N,VIIRS,h,2,296.36,9.79,D,0
-0.19944,109.26272,330.64,0.42,0.38,2023-01-01,0600,N,VIIRS,n,2,290.73,4.29,D,0
-0.19363,109.27735,333.26,0.42,0.38,2023-01-01,0600,N,VIIRS,n,2,293.23,9.79,D,0
-0.19422,109.27357,350.54,0.42,0.38,2023-01-01,0600,N,VIIRS,n,2,294.3,9.79,D,0
-0.14164,109.33901,338.58,0.42,0.38,2023-01-01,0600,N,VIIRS,n,2,289.41,9.5,D,0
