Longitude,Latitude,Tgl_Hotspot,Sumber,Satellite,Status,Region,excel_row,sheet,customer_id,year,customer_index,sid,distance_km,delta_minutes,same_satellite,unknown_satellite,time_residual_minutes,candidate_count,satellite_name,utc
103.102622986,-0.90571898222,2019-05-26 10:00:00,LAPAN,Unknown,Verified No fire,JAMBI SMF,102,2019,2019:102,2019,100,5708,0.0033145626243608704,379.0,False,True,-41.0,1,Terra,2019-05-26 03:41:00
103.099830627,-0.904422342777,2019-05-26 13:00:00,LAPAN,Unknown,Verified No fire,JAMBI SMF,106,2019,2019:106,2019,104,5734,0.029026669675611818,383.0,False,True,-37.0,1,Aqua,2019-05-26 06:37:00
103.47328186,-1.06019628048,2019-06-20 13:00:00,LAPAN,Unknown,Verified No fire,JAMBI SMF,112,2019,2019:112,2019,110,6341,0.1341567350736984,390.0,False,True,-30.0,1,Aqua,2019-06-20 06:30:00
103.108161926,-0.906693577766,2019-06-27 10:00:00,LAPAN,Unknown,Verified No fire,JAMBI SMF,118,2019,2019:118,2019,116,6660,0.006921940015058314,380.0,False,True,-40.0,1,Terra,2019-06-27 03:40:00
103.10610199,-0.909417450428,2019-06-27 13:00:00,LAPAN,Unknown,Verified No fire,JAMBI SMF,120,2019,2019:120,2019,118,6707,0.025978818255584134,384.0,False,True,-36.0,1,Aqua,2019-06-27 06:36:00
103.482749939,-1.08689498901,2019-06-27 13:00:00,LAPAN,Unknown,Verified No fire,JAMBI SMF,121,2019,2019:121,2019,119,6703,0.019734081083347864,384.0,False,True,-36.0,1,Aqua,2019-06-27 06:36:00
103.109680176,-0.96216237545,2019-07-04 10:00:00,LAPAN,Unknown,Verified No fire,JAMBI SMF,131,2019,2019:131,2019,129,7086,0.011294418396691297,373.0,False,True,-47.0,1,Terra,2019-07-04 03:47:00
105.489936829,-2.92297124863,2019-07-04 10:00:00,LAPAN,Unknown,Verified No fire,SUMSEL,133,2019,2019:133,2019,131,7089,0.024361516861618557,373.0,False,True,-47.0,1,Terra,2019-07-04 03:47:00
103.75554657,-1.37327504158,2019-07-06 10:00:00,LAPAN,Unknown,Verified No fire,JAMBI SMF,136,2019,2019:136,2019,134,7231,0.005873839406346777,386.0,False,True,-34.0,1,Terra,2019-07-06 03:34:00
105.284721375,-2.74873876572,2019-07-06 10:00:00,LAPAN,Unknown,Verified No fire,SUMSEL,137,2019,2019:137,2019,135,7233,0.014153169047935843,385.0,False,True,-35.0,1,Terra,2019-07-06 03:35:00
105.309616089,-3.03666567802,2019-07-06 13:00:00,LAPAN,Unknown,Verified No fire,SUMSEL,139,2019,2019:139,2019,137,7243,0.025081089935933058,390.0,False,True,-30.0,1,Aqua,2019-07-06 06:30:00
