year,Region,Sumber,Satellite,matched_rows,passes,recovery,recovery_2km
2019,JAMBI SMF,ASMC,NOAA20,36,29,0.8055555555555556,0.8055555555555556
2019,JAMBI SMF,LAPAN,Aqua,369,294,0.7967479674796748,0.8943089430894309
2019,JAMBI SMF,LAPAN,SNPP,216,208,0.9629629629629629,0.9722222222222222
2019,JAMBI SMF,LAPAN,Terra,351,64,0.18233618233618235,0.7549857549857549
2019,SUMSEL,ASMC,NOAA20,1462,1317,0.9008207934336525,0.9343365253077975
2019,SUMSEL,LAPAN,Aqua,1332,1154,0.8663663663663663,0.9451951951951952
2019,SUMSEL,LAPAN,SNPP,1258,1135,0.9022257551669316,0.9340222575516693
2019,SUMSEL,LAPAN,Terra,633,64,0.10110584518167456,0.631911532385466
2019,SUMSEL MUBA,ASMC,NOAA20,169,154,0.9112426035502958,0.9112426035502958
2019,SUMSEL MUBA,LAPAN,Aqua,539,466,0.8645640074211502,0.9387755102040817
2019,SUMSEL MUBA,LAPAN,SNPP,592,572,0.9662162162162162,0.9746621621621622
2019,SUMSEL MUBA,LAPAN,Terra,508,114,0.22440944881889763,0.781496062992126
2023,JAMBI SMF,LAPAN,NOAA20,359,118,0.3286908077994429,0.6155988857938719
2023,JAMBI SMF,LAPAN,SNPP,371,149,0.40161725067385445,0.633423180592992
2023,JAMBI SMF,NASA,Aqua,40,15,0.375,0.4
2023,JAMBI SMF,NASA,NOAA20,803,261,0.32503113325031135,0.5143212951432129
2023,JAMBI SMF,NASA,SNPP,769,295,0.3836150845253576,0.552665799739922
2023,SUMSEL,LAPAN,Aqua,217,191,0.880184331797235,0.9631336405529954
2023,SUMSEL,LAPAN,NOAA20,4601,3939,0.8561182351662682,0.900021734405564
2023,SUMSEL,LAPAN,SNPP,4974,4291,0.8626859670285485,0.9014877362283876
2023,SUMSEL,NASA,Aqua,853,584,0.6846424384525205,0.8569753810082064
2023,SUMSEL,NASA,NOAA20,6185,5308,0.8582053354890865,0.9025060630557801
2023,SUMSEL,NASA,SNPP,5928,5106,0.861336032388664,0.900472334682861
2023,SUMSEL MUBA,LAPAN,Aqua,2,1,0.5,1.0
2023,SUMSEL MUBA,LAPAN,NOAA20,403,268,0.6650124069478908,0.6823821339950372
2023,SUMSEL MUBA,LAPAN,SNPP,398,279,0.7010050251256281,0.7412060301507538
2023,SUMSEL MUBA,NASA,Aqua,72,41,0.5694444444444444,0.75
2023,SUMSEL MUBA,NASA,NOAA20,630,388,0.6158730158730159,0.6444444444444445
2023,SUMSEL MUBA,NASA,SNPP,645,425,0.6589147286821705,0.6930232558139535
