model,feature,importance
2019_heldout_dates_satellite_features,confidence_score,0.0
2019_heldout_dates_satellite_features,frp,0.6661805783830916
2019_heldout_dates_satellite_features,brightness_main,0.00012132243562575264
2019_heldout_dates_satellite_features,brightness_background,0.01246022933723969
2019_heldout_dates_satellite_features,scan,0.2632322575814503
2019_heldout_dates_satellite_features,track,0.024283162422487545
2019_heldout_dates_satellite_features,n_1km_30min,0.0
2019_heldout_dates_satellite_features,n_same_sat_1km_30min,0.019925522813352203
2019_heldout_dates_satellite_features,n_other_sat_1km_30min,0.0001993358195812458
2019_heldout_dates_satellite_features,n_prior_strict_1km_30min,0.0
2019_heldout_dates_satellite_features,satellite_name_Aqua,0.0
2019_heldout_dates_satellite_features,satellite_name_NOAA20,0.0036768980780422012
2019_heldout_dates_satellite_features,satellite_name_SNPP,0.009920693129129441
2019_heldout_dates_satellite_features,satellite_name_Terra,0.0
2019_heldout_dates_satellite_features,daynight_D,0.0
2019_heldout_dates_satellite_features,daynight_N,0.0
2019_other_year_satellite_features,confidence_score,0.0008350353462611097
2019_other_year_satellite_features,frp,0.30816377792372396
2019_other_year_satellite_features,brightness_main,0.0
2019_other_year_satellite_features,brightness_background,0.009008027254323838
2019_other_year_satellite_features,scan,0.0047413851898615335
2019_other_year_satellite_features,track,0.6462858500288091
2019_other_year_satellite_features,n_1km_30min,0.003638786377213063
2019_other_year_satellite_features,n_same_sat_1km_30min,0.015642033574465933
2019_other_year_satellite_features,n_other_sat_1km_30min,0.0
2019_other_year_satellite_features,n_prior_strict_1km_30min,0.0
2019_other_year_satellite_features,satellite_name_Aqua,0.0
2019_other_year_satellite_features,satellite_name_NOAA20,0.0
2019_other_year_satellite_features,satellite_name_SNPP,0.009640780707182583
2019_other_year_satellite_features,satellite_name_Terra,0.0
2019_other_year_satellite_features,daynight_D,0.0
2019_other_year_satellite_features,daynight_N,0.0020443235981588113
2019_heldout_dates_location_only,latitude,0.48279535348648084
2019_heldout_dates_location_only,longitude,0.5172046465135192
2019_other_year_location_only,latitude,0.39979011680377535
2019_other_year_location_only,longitude,0.6002098831962247
2019_heldout_dates_satellite_features_plus_location_hour,confidence_score,0.0
2019_heldout_dates_satellite_features_plus_location_hour,frp,0.4513210479179047
2019_heldout_dates_satellite_features_plus_location_hour,brightness_main,8.219298273600167e-05
2019_heldout_dates_satellite_features_plus_location_hour,brightness_background,0.0
2019_heldout_dates_satellite_features_plus_location_hour,scan,0.0
2019_heldout_dates_satellite_features_plus_location_hour,track,0.21209993250978754
2019_heldout_dates_satellite_features_plus_location_hour,n_1km_30min,0.0
2019_heldout_dates_satellite_features_plus_location_hour,n_same_sat_1km_30min,0.0
2019_heldout_dates_satellite_features_plus_location_hour,n_other_sat_1km_30min,0.0
2019_heldout_dates_satellite_features_plus_location_hour,n_prior_strict_1km_30min,0.0
2019_heldout_dates_satellite_features_plus_location_hour,satellite_name_Aqua,0.0
2019_heldout_dates_satellite_features_plus_location_hour,satellite_name_NOAA20,0.0024910085155950283
2019_heldout_dates_satellite_features_plus_location_hour,satellite_name_SNPP,0.0
2019_heldout_dates_satellite_features_plus_location_hour,satellite_name_Terra,0.0
2019_heldout_dates_satellite_features_plus_location_hour,daynight_D,0.0
2019_heldout_dates_satellite_features_plus_location_hour,daynight_N,0.0
2019_heldout_dates_satellite_features_plus_location_hour,latitude,0.13493142840491457
2019_heldout_dates_satellite_features_plus_location_hour,longitude,0.1990743896690622
2019_heldout_dates_satellite_features_plus_location_hour,local_hour,0.0
2019_other_year_satellite_features_plus_location_hour,confidence_score,0.0
2019_other_year_satellite_features_plus_location_hour,frp,0.10605769038438903
2019_other_year_satellite_features_plus_location_hour,brightness_main,0.0
2019_other_year_satellite_features_plus_location_hour,brightness_background,0.0
2019_other_year_satellite_features_plus_location_hour,scan,0.0
2019_other_year_satellite_features_plus_location_hour,track,0.41286084452867006
2019_other_year_satellite_features_plus_location_hour,n_1km_30min,0.0
2019_other_year_satellite_features_plus_location_hour,n_same_sat_1km_30min,0.0
2019_other_year_satellite_features_plus_location_hour,n_other_sat_1km_30min,0.0
2019_other_year_satellite_features_plus_location_hour,n_prior_strict_1km_30min,0.0
2019_other_year_satellite_features_plus_location_hour,satellite_name_Aqua,0.0
2019_other_year_satellite_features_plus_location_hour,satellite_name_NOAA20,0.0
2019_other_year_satellite_features_plus_location_hour,satellite_name_SNPP,0.0
2019_other_year_satellite_features_plus_location_hour,satellite_name_Terra,0.0
2019_other_year_satellite_features_plus_location_hour,daynight_D,0.0
2019_other_year_satellite_features_plus_location_hour,daynight_N,0.0
2019_other_year_satellite_features_plus_location_hour,latitude,0.1721901825215891
2019_other_year_satellite_features_plus_location_hour,longitude,0.308891282565352
2019_other_year_satellite_features_plus_location_hour,local_hour,0.0
2023_heldout_dates_satellite_features,confidence_score,0.0
2023_heldout_dates_satellite_features,frp,0.11811136142895827
2023_heldout_dates_satellite_features,brightness_main,0.0
2023_heldout_dates_satellite_features,brightness_background,0.11081860492638362
2023_heldout_dates_satellite_features,scan,0.1466880163170746
2023_heldout_dates_satellite_features,track,0.12265185952946955
2023_heldout_dates_satellite_features,n_1km_30min,0.13090951920195817
2023_heldout_dates_satellite_features,n_same_sat_1km_30min,0.0
2023_heldout_dates_satellite_features,n_other_sat_1km_30min,0.0
2023_heldout_dates_satellite_features,n_prior_strict_1km_30min,0.0
2023_heldout_dates_satellite_features,satellite_name_Aqua,0.0
2023_heldout_dates_satellite_features,satellite_name_NOAA20,0.0
2023_heldout_dates_satellite_features,satellite_name_SNPP,0.0
2023_heldout_dates_satellite_features,satellite_name_Terra,0.37082063859615577
2023_heldout_dates_satellite_features,daynight_D,0.0
2023_heldout_dates_satellite_features,daynight_N,0.0
2023_other_year_satellite_features,confidence_score,0.0
2023_other_year_satellite_features,frp,0.08222314854347189
2023_other_year_satellite_features,brightness_main,0.0
2023_other_year_satellite_features,brightness_background,0.1043569403370921
2023_other_year_satellite_features,scan,0.19062509967773292
2023_other_year_satellite_features,track,0.0751854035519522
2023_other_year_satellite_features,n_1km_30min,0.0
2023_other_year_satellite_features,n_same_sat_1km_30min,0.08330382454552199
2023_other_year_satellite_features,n_other_sat_1km_30min,0.0
2023_other_year_satellite_features,n_prior_strict_1km_30min,0.0
2023_other_year_satellite_features,satellite_name_Aqua,0.0
2023_other_year_satellite_features,satellite_name_NOAA20,0.0
2023_other_year_satellite_features,satellite_name_SNPP,0.0
2023_other_year_satellite_features,satellite_name_Terra,0.44667614010824236
2023_other_year_satellite_features,daynight_D,0.01762944323598661
2023_other_year_satellite_features,daynight_N,0.0
