train_year,test_year,experiment,features,train_rows,test_rows,listed_and_selected,unlisted_selected,listed_missed,unlisted_not_selected,selected,listed,listed_recall,listed_precision_proxy,listed_f1_proxy
2019,2019,heldout_dates,satellite_features,153824,38925,1102,8518,432,28873,9620,1534,0.7183833116036505,0.11455301455301456,0.19759727452035145
2019,2023,other_year,satellite_features,192749,74782,5934,21578,10013,37257,27512,15947,0.37210760644635354,0.21568769991276535,0.2730849766446536
2019,2019,heldout_dates,location_only,153824,38925,1334,9453,200,27938,10787,1534,0.8696219035202086,0.12366737739872068,0.21654086518951385
2019,2023,other_year,location_only,192749,74782,12753,5699,3194,53136,18452,15947,0.7997115444911268,0.691144591372209,0.7414750428791534
2019,2019,heldout_dates,satellite_features_plus_location_hour,153824,38925,1317,5619,217,31772,6936,1534,0.8585397653194263,0.189878892733564,0.3109799291617473
2019,2023,other_year,satellite_features_plus_location_hour,192749,74782,8743,10726,7204,48109,19469,15947,0.5482535900169311,0.44907288509938875,0.4937316467133499
2023,2023,heldout_dates,satellite_features,58213,16569,2149,6128,1583,6709,8277,3732,0.5758306538049304,0.25963513350247674,0.35789824298442835
2023,2019,other_year,satellite_features,74782,192749,2301,70339,5013,115096,72640,7314,0.31460213289581623,0.031676762114537446,0.057558095905145455
2023,2023,heldout_dates,location_only,58213,16569,3560,2167,172,10670,5727,3732,0.9539121114683816,0.6216169023921774,0.7527222750819326
2023,2019,other_year,location_only,74782,192749,6644,90595,670,94840,97239,7314,0.9083948591741865,0.06832649451351824,0.12709343586506366
2023,2023,heldout_dates,satellite_features_plus_location_hour,58213,16569,3560,2167,172,10670,5727,3732,0.9539121114683816,0.6216169023921774,0.7527222750819326
2023,2019,other_year,satellite_features_plus_location_hour,74782,192749,6644,90595,670,94840,97239,7314,0.9083948591741865,0.06832649451351824,0.12709343586506366
