year,satellite_name,listed,detections,frp_median,confidence_median,day_fraction,cluster_fraction
2019,Aqua,False,8823,25.1,74.0,0.6900147342173863,0.8539045676073898
2019,Aqua,True,2143,21.9,73.0,0.6826878208119459,0.8520765282314512
2019,NOAA20,False,85314,4.49,50.0,0.47669784560564504,0.8324073422884872
2019,NOAA20,True,1633,11.56,50.0,1.0,0.898958971218616
2019,SNPP,False,85058,4.66,50.0,0.4956030003056738,0.846681088198641
2019,SNPP,True,2046,9.27,50.0,0.6505376344086021,0.9271749755620723
2019,Terra,False,6240,20.1,75.0,0.3346153846153846,0.24006410256410257
2019,Terra,True,1492,17.6,72.0,0.42828418230563003,0.16219839142091153
2023,Aqua,False,3709,18.3,70.0,0.7886222701536802,0.7045025613372877
2023,Aqua,True,979,21.1,66.0,0.8539325842696629,0.669050051072523
2023,NOAA20,False,25417,4.46,50.0,0.5844906952039973,0.7284494629578628
2023,NOAA20,True,7633,4.83,50.0,0.5925586270142801,0.7813441635005896
2023,SNPP,False,26998,4.38,50.0,0.577783539521446,0.7492036447144232
2023,SNPP,True,7335,4.81,50.0,0.5674164962508521,0.7930470347648262
2023,Terra,False,2711,14.6,68.0,0.3803024714127628,0.21615639985245297
