Longitude,Latitude,Tgl_Hotspot,Sumber,Satellite,Status,Region,excel_row,sheet,customer_id,year,customer_index,sid,distance_km,delta_minutes,same_satellite,unknown_satellite,time_residual_minutes,candidate_count,utc,latitude,longitude,n_1km_30min,n_2km_30min,n_1km_60min,n_1km_1440min
105.484695435,-2.9646115303,2019-01-04 10:00:00,LAPAN,Terra,Verified No fire,SUMSEL,3,2019,2019:3,2019,1,39,0.038728375020397186,391.0,True,False,-29.0,1,2019-01-04 03:29:00,-2.9649,105.4845,0,0,0,0
105.457717896,-2.96065616608,2019-01-04 10:00:00,LAPAN,Terra,Verified No fire,SUMSEL,4,2019,2019:4,2019,2,38,0.03634003842518551,391.0,True,False,-29.0,1,2019-01-04 03:29:00,-2.9609,105.4575,0,0,0,0
105.510429382,-2.97757530212,2019-01-04 10:00:00,LAPAN,Terra,Verified No fire,SUMSEL,6,2019,2019:6,2019,4,40,0.03568015266177598,391.0,True,False,-29.0,1,2019-01-04 03:29:00,-2.9778,105.5102,0,0,0,0
104.150947571,-1.72887861729,2019-02-03 13:00:00,LAPAN,Aqua,Verified No fire,SUMSEL MUBA,8,2019,2019:8,2019,6,445,0.02761868011001473,384.0,True,False,-36.0,1,2019-02-03 06:36:00,-1.7289,104.1507,0,0,0,0
103.0598526,-0.894679129124,2019-02-05 10:00:00,LAPAN,Terra,Verified No fire,JAMBI SMF,9,2019,2019:9,2019,7,473,0.0462604121470325,392.0,True,False,-28.0,1,2019-02-05 03:28:00,-0.8949,103.0595,0,0,0,0
103.797065735,-2.21958136559,2019-02-18 22:00:00,LAPAN,Terra,Verified No fire,SUMSEL MUBA,10,2019,2019:10,2019,8,1007,0.01991421997798461,402.0,True,False,-18.0,1,2019-02-18 15:18:00,-2.2197,103.7972,0,0,0,3
105.271598816,-2.74993348122,2019-02-21 13:00:00,LAPAN,Aqua,Verified No fire,SUMSEL,13,2019,2019:13,2019,11,1117,0.02881761951244182,396.0,True,False,-24.0,1,2019-02-21 06:24:00,-2.7501,105.2714,0,0,0,0
105.385879517,-2.64102172852,2019-02-21 13:00:00,LAPAN,Aqua,Verified No fire,SUMSEL,14,2019,2019:14,2019,12,1118,0.0368363938740412,396.0,True,False,-24.0,1,2019-02-21 06:24:00,-2.6412,105.3856,0,0,0,0
105.667098999,-2.91249752045,2019-02-23 13:00:00,LAPAN,Aqua,Verified No fire,SUMSEL,16,2019,2019:16,2019,14,1283,0.07122970145789657,409.0,True,False,-11.0,1,2019-02-23 06:11:00,-2.9129,105.6666,0,0,0,0
105.672210693,-2.908462286,2019-03-07 10:00:00,LAPAN,Terra,Verified No fire,SUMSEL,19,2019,2019:19,2019,17,1924,0.03774851862541274,379.0,True,False,-41.0,1,2019-03-07 03:41:00,-2.9086,105.6719,0,0,0,0
105.833427429,-3.03464603424,2019-03-07 10:00:00,LAPAN,Terra,Verified No fire,SUMSEL,20,2019,2019:20,2019,18,1926,0.03050971641116325,379.0,True,False,-41.0,1,2019-03-07 03:41:00,-3.0348,105.8332,0,0,0,0
103.693206787,-1.37343096733,2019-03-09 10:00:00,LAPAN,Terra,Verified No fire,JAMBI SMF,21,2019,2019:21,2019,19,1988,0.02969311291553358,392.0,True,False,-28.0,1,2019-03-09 03:28:00,-1.3736,103.693,0,0,0,0
104.156738281,-1.94495880604,2019-03-18 10:00:00,LAPAN,Terra,Verified No fire,SUMSEL MUBA,27,2019,2019:27,2019,25,2465,0.030784807917272096,397.0,True,False,-23.0,1,2019-03-18 03:23:00,-1.9451,104.1565,0,0,0,0
103.062484741,-0.892672359943,2019-03-18 10:00:00,LAPAN,Terra,Verified No fire,JAMBI SMF,28,2019,2019:28,2019,26,2463,0.03469388775976886,398.0,True,False,-22.0,1,2019-03-18 03:22:00,-0.8928,103.0622,0,0,0,0
105.673034668,-2.91868638992,2019-03-20 10:00:00,LAPAN,Terra,Verified No fire,SUMSEL,29,2019,2019:29,2019,27,3069,0.035260510117255034,410.0,True,False,-10.0,1,2019-03-20 03:10:00,-2.9189,105.6728,0,0,0,0
105.387580872,-2.6387526989,2019-04-03 10:00:00,LAPAN,Terra,Verified No fire,SUMSEL,34,2019,2019:34,2019,32,3902,0.025921323824093116,397.0,True,False,-23.0,1,2019-04-03 03:23:00,-2.6389,105.3874,0,0,0,0
103.104614258,-0.906912744045,2019-04-08 10:00:00,LAPAN,Terra,Verified No fire,JAMBI SMF,40,2019,2019:40,2019,38,4114,0.025721561370930485,379.0,True,False,-41.0,1,2019-04-08 03:41:00,-0.907,103.1044,0,0,0,0
103.103065491,-0.964927375317,2019-04-08 13:00:00,LAPAN,Aqua,Verified No fire,JAMBI SMF,41,2019,2019:41,2019,39,4140,0.03273934321173459,383.0,True,False,-37.0,1,2019-04-08 06:37:00,-0.9648,103.1028,0,0,0,0
103.477890015,-1.06274461746,2019-04-13 13:00:00,LAPAN,Aqua,Verified No fire,JAMBI SMF,42,2019,2019:42,2019,40,4313,0.051615741706174195,365.0,True,False,-55.0,1,2019-04-13 06:55:00,-1.0632,103.4778,0,0,0,0
105.516426086,-2.97167944908,2019-04-17 10:00:00,LAPAN,Terra,Verified No fire,SUMSEL,48,2019,2019:48,2019,46,4430,0.01418654547633863,385.0,True,False,-35.0,1,2019-04-17 03:35:00,-2.9717,105.5163,0,0,0,0
105.379203796,-3.12619805336,2019-04-17 10:00:00,LAPAN,Terra,Verified No fire,SUMSEL,49,2019,2019:49,2019,47,4431,0.01616528824572506,385.0,True,False,-35.0,1,2019-04-17 03:35:00,-3.1263,105.3791,0,0,0,1
105.381011963,-3.13251376152,2019-04-17 13:00:00,LAPAN,Aqua,Verified No fire,SUMSEL,50,2019,2019:50,2019,48,4442,0.026823671542661163,390.0,True,False,-30.0,1,2019-04-17 06:30:00,-3.1323,105.3809,0,0,0,1
103.10295105,-0.889533042908,2019-04-17 13:00:00,LAPAN,Aqua,Verified No fire,JAMBI SMF,54,2019,2019:54,2019,52,4443,0.03159023264314908,389.0,True,False,-31.0,1,2019-04-17 06:31:00,-0.8894,103.1027,0,0,0,0
103.109939575,-0.903308033943,2019-04-29 10:00:00,LAPAN,Terra,Verified No fire,JAMBI SMF,56,2019,2019:56,2019,54,4765,0.02921982661946527,361.0,True,False,-59.0,1,2019-04-29 03:59:00,-0.9032,103.1097,0,0,0,0
104.181594849,-1.86725318432,2019-05-01 10:00:00,LAPAN,Terra,Verified No fire,SUMSEL MUBA,59,2019,2019:59,2019,57,4782,0.022447749469726747,373.0,True,False,-47.0,1,2019-05-01 03:47:00,-1.8672,104.1814,0,0,0,0
103.944900513,-1.84924030304,2019-05-01 13:00:00,LAPAN,Aqua,Verified No fire,SUMSEL MUBA,64,2019,2019:64,2019,62,4809,0.027202721795107156,378.0,True,False,-42.0,1,2019-05-01 06:42:00,-1.8491,103.9447,0,0,0,0
105.675758362,-2.91373252869,2019-05-03 10:00:00,LAPAN,Terra,Verified No fire,SUMSEL,68,2019,2019:68,2019,66,4840,0.00991427416940683,385.0,True,False,-35.0,1,2019-05-03 03:35:00,-2.9138,105.6757,0,0,0,0
105.515090942,-2.97299838066,2019-05-03 10:00:00,LAPAN,Terra,Verified No fire,SUMSEL,69,2019,2019:69,2019,67,4841,0.021203999400359573,385.0,True,False,-35.0,1,2019-05-03 03:35:00,-2.973,105.5149,0,0,0,0
105.315055847,-3.03624844551,2019-05-03 10:00:00,LAPAN,Terra,Verified No fire,SUMSEL,70,2019,2019:70,2019,68,4842,0.0084449734603744,385.0,True,False,-35.0,1,2019-05-03 03:35:00,-3.0363,105.315,0,0,0,0
105.668182373,-2.9207701683,2019-05-03 13:00:00,LAPAN,Aqua,Verified No fire,SUMSEL,71,2019,2019:71,2019,69,4866,0.012023106266773945,390.0,True,False,-30.0,1,2019-05-03 06:30:00,-2.9207,105.6681,0,0,0,0
104.149490356,-1.95018863678,2019-05-03 13:00:00,LAPAN,Aqua,Verified No fire,SUMSEL MUBA,73,2019,2019:73,2019,71,4869,0.02119209201171493,390.0,True,False,-30.0,1,2019-05-03 06:30:00,-1.9502,104.1493,0,0,0,0
104.165024,-1.948391,2019-05-04 14:00:00,LAPAN,Aqua,Verified No fire,SUMSEL MUBA,74,2019,2019:74,2019,72,4914,0.019584605192492166,407.0,True,False,-13.0,1,2019-05-04 07:13:00,-1.9484,104.1652,0,0,0,0
105.67489624,-2.91336274147,2019-05-07 10:00:00,LAPAN,Terra,Verified No fire,SUMSEL,75,2019,2019:75,2019,73,4986,0.03315769984415786,409.0,True,False,-11.0,1,2019-05-07 03:11:00,-2.9134,105.6746,0,0,0,0
105.601089478,-2.90190315247,2019-05-08 10:00:00,LAPAN,Terra,Verified No fire,SUMSEL,79,2019,2019:79,2019,77,5054,0.024678474824931945,367.0,True,False,-53.0,1,2019-05-08 03:53:00,-2.9017,105.601,0,0,0,0
105.392868042,-2.72674012184,2019-05-08 10:00:00,LAPAN,Terra,Verified No fire,SUMSEL,80,2019,2019:80,2019,78,5053,0.024312935843449617,367.0,True,False,-53.0,1,2019-05-08 03:53:00,-2.7266,105.3927,0,0,0,0
103.107063293,-0.906800031662,2019-05-10 10:00:00,LAPAN,Terra,Verified No fire,JAMBI SMF,83,2019,2019:83,2019,81,5211,0.007036989679149303,379.0,True,False,-41.0,1,2019-05-10 03:41:00,-0.9068,103.107,0,0,0,0
104.158996582,-1.94774150848,2019-05-10 10:00:00,LAPAN,Terra,Verified No fire,SUMSEL MUBA,87,2019,2019:87,2019,85,5215,0.011683561463253524,379.0,True,False,-41.0,1,2019-05-10 03:41:00,-1.9477,104.1589,0,0,0,0
104.166023254,-1.91227686405,2019-05-10 13:00:00,LAPAN,Aqua,Verified No fire,SUMSEL MUBA,88,2019,2019:88,2019,86,5229,0.03165990599030775,384.0,True,False,-36.0,1,2019-05-10 06:36:00,-1.9121,104.1658,0,0,0,0
102.971076965,-0.849695682526,2019-05-11 14:00:00,LAPAN,Aqua,Verified No fire,JAMBI SMF,90,2019,2019:90,2019,88,5276,0.010943336192529409,401.0,True,False,-19.0,1,2019-05-11 07:19:00,-0.8496,102.9711,0,0,0,0
103.103790283,-0.963185608387,2019-05-12 10:00:00,LAPAN,Terra,Verified No fire,JAMBI SMF,91,2019,2019:91,2019,89,5305,0.010164370994310386,392.0,True,False,-28.0,1,2019-05-12 03:28:00,-0.9632,103.1037,0,0,0,0
105.320419312,-3.03253817558,2019-05-19 10:00:00,LAPAN,Terra,Verified No fire,SUMSEL,95,2019,2019:95,2019,93,5457,0.013911783433608839,385.0,True,False,-35.0,1,2019-05-19 03:35:00,-3.0325,105.3203,0,0,0,0
103.728050232,-1.34644651413,2019-05-21 13:00:00,LAPAN,Aqua,Verified No fire,JAMBI SMF,99,2019,2019:99,2019,97,5534,0.06370654636501724,402.0,True,False,-18.0,1,2019-05-21 06:18:00,-1.3469,103.7277,0,0,0,0
103.463256836,-1.14639592171,2019-05-26 13:00:00,LAPAN,Aqua,Verified No fire,JAMBI SMF,103,2019,2019:103,2019,101,5730,0.020439537210766984,384.0,True,False,-36.0,1,2019-05-26 06:36:00,-1.1463,103.4631,0,0,0,0
103.748161316,-1.34468102455,2019-05-26 13:00:00,LAPAN,Aqua,Verified No fire,JAMBI SMF,104,2019,2019:104,2019,102,5729,0.020068632644980447,384.0,True,False,-36.0,1,2019-05-26 06:36:00,-1.3446,103.748,0,0,0,0
103.470191956,-1.0609947443,2019-05-26 13:00:00,LAPAN,Aqua,Verified No fire,JAMBI SMF,105,2019,2019:105,2019,103,5732,0.023799632346453835,384.0,True,False,-36.0,1,2019-05-26 06:36:00,-1.0609,103.47,0,0,0,0
104.174789429,-1.90426468849,2019-05-28 13:00:00,LAPAN,Aqua,Verified No fire,SUMSEL MUBA,107,2019,2019:107,2019,105,5828,0.04924202789843458,396.0,True,False,-24.0,1,2019-05-28 06:24:00,-1.9046,104.1745,0,0,0,0
103.92741394,-1.51323986053,2019-06-25 13:00:00,LAPAN,Aqua,Verified No fire,JAMBI SMF,113,2019,2019:113,2019,111,6551,0.0315774083150301,372.0,True,False,-48.0,1,2019-06-25 06:48:00,-1.5135,103.9273,0,0,0,0
103.474090576,-1.06246054173,2019-06-27 10:00:00,LAPAN,Terra,Verified No fire,JAMBI SMF,117,2019,2019:117,2019,115,6661,0.012112861558039595,380.0,True,False,-40.0,1,2019-06-27 03:40:00,-1.0624,103.474,0,0,0,0
103.026618958,-2.30914163589,2019-06-27 13:00:00,LAPAN,Aqua,Verified Fire,SUMSEL MUBA,122,2019,2019:122,2019,120,6697,0.02476390213689171,384.0,True,False,-36.0,1,2019-06-27 06:36:00,-2.3091,103.0264,0,0,0,0
103.462677002,-1.06333208084,2019-06-29 13:00:00,LAPAN,Aqua,Verified No fire,JAMBI SMF,124,2019,2019:124,2019,122,6862,0.05120629215980766,396.0,True,False,-24.0,1,2019-06-29 06:24:00,-1.0637,103.4624,0,0,0,0
103.724914551,-1.34801471233,2019-06-29 13:00:00,LAPAN,Aqua,Verified No fire,JAMBI SMF,126,2019,2019:126,2019,124,6861,0.039688342893206704,396.0,True,False,-24.0,1,2019-06-29 06:24:00,-1.3483,103.7247,0,0,0,0
103.104011536,-0.90896242857,2019-06-29 13:00:00,LAPAN,Aqua,Verified No fire,JAMBI SMF,127,2019,2019:127,2019,125,6864,0.051075316952091804,396.0,True,False,-24.0,1,2019-06-29 06:24:00,-0.9093,103.1037,0,0,0,0
105.479095459,-2.95304369926,2019-07-04 10:00:00,LAPAN,Terra,Verified No fire,SUMSEL,134,2019,2019:134,2019,132,7090,0.015986605775517727,373.0,True,False,-47.0,1,2019-07-04 03:47:00,-2.9529,105.4791,0,0,0,0
105.383361816,-2.63666677475,2019-07-06 10:00:00,LAPAN,Terra,Verified No fire,SUMSEL,138,2019,2019:138,2019,136,7232,0.019447340775096168,385.0,True,False,-35.0,1,2019-07-06 03:35:00,-2.6366,105.3832,0,0,0,0
