train_year,test_year,experiment,features,train_rows,test_rows,listed_and_selected,unlisted_selected,listed_missed,unlisted_not_selected,selected,listed,listed_recall,listed_precision_proxy,listed_f1_proxy
2019,2019,heldout_dates,satellite_features,153824,38925,1102,8518,435,28870,9620,1537,0.7169811320754716,0.11455301455301456,0.19754414269068746
2019,2023,other_year,satellite_features,192749,74782,6491,21021,10013,37257,27512,16504,0.3932985942801745,0.23593341087525443,0.2949382042893493
2019,2019,heldout_dates,location_only,153824,38925,1336,9452,201,27936,10788,1537,0.8692257644762524,0.12384130515387468,0.2167951318458418
2019,2023,other_year,location_only,192749,74782,13233,5291,3271,52987,18524,16504,0.801805622879302,0.7143705463182898,0.7555669749914354
2019,2019,heldout_dates,satellite_features_plus_location_hour,153824,38925,1318,5618,219,31770,6936,1537,0.8575146389069617,0.1900230680507497,0.31110586569101856
2019,2023,other_year,satellite_features_plus_location_hour,192749,74782,9294,10175,7210,48103,19469,16504,0.563136209403781,0.4773742873285736,0.5167208739888249
2023,2023,heldout_dates,satellite_features,58213,16569,2822,7842,1043,4862,10664,3865,0.7301423027166882,0.26462865716429107,0.38846445040952576
2023,2019,other_year,satellite_features,74782,192749,3730,76346,3613,109060,80076,7343,0.5079667710744927,0.04658074828912533,0.08533613974078862
2023,2023,heldout_dates,location_only,58213,16569,3650,2033,215,10671,5683,3865,0.944372574385511,0.6422664085870139,0.7645580226225388
2023,2019,other_year,location_only,74782,192749,6664,90577,679,94829,97241,7343,0.9075309818875119,0.0685307637724828,0.12743823146944083
2023,2023,heldout_dates,satellite_features_plus_location_hour,58213,16569,3650,2033,215,10671,5683,3865,0.944372574385511,0.6422664085870139,0.7645580226225388
2023,2019,other_year,satellite_features_plus_location_hour,74782,192749,6664,90577,679,94829,97241,7343,0.9075309818875119,0.0685307637724828,0.12743823146944083
