year,Sumber,Satellite,customer_rows,matched_rows,coverage,unique_archive_detections
2019,0-3082272,Unknown,1,0,0.0,0
2019,0-3083220,Unknown,2,0,0.0,0
2019,0-3085969,Unknown,1,0,0.0,0
2019,ASMC,NOAA20,2407,1667,0.692563356875779,1633
2019,ASMC,Unknown,2,0,0.0,0
2019,LAPAN,Aqua,3558,2240,0.6295671725688589,2143
2019,LAPAN,SNPP,3604,2066,0.5732519422863485,2046
2019,LAPAN,Terra,1811,1492,0.8238542241855329,1492
2019,LAPAN,Unknown,40,0,0.0,0
2023,LAPAN,Aqua,562,219,0.3896797153024911,219
2023,LAPAN,NOAA20,6435,5363,0.8334110334110334,5224
2023,LAPAN,SNPP,6227,5743,0.922273968202987,5567
2023,NASA,Aqua,1646,965,0.586269744835966,962
2023,NASA,NOAA20,7803,7618,0.9762911700627963,7609
2023,NASA,SNPP,7356,7342,0.9980967917346384,7326
