year,radius_m,time_model,customer_rows,matched_rows,match_fraction,unique_archive_detections,ambiguous_rows
2019,25.0,floor,11426,2049,0.17932784876597235,2049,0
2023,25.0,floor,30029,14371,0.47857071497552367,14237,24
2019,25.0,nearest,11426,602,0.05268685454227201,602,0
2023,25.0,nearest,30029,7185,0.23926870691664723,7124,16
2019,25.0,plusminus60,11426,2051,0.1795028881498337,2051,0
2023,25.0,plusminus60,30029,14386,0.4790702321089613,14250,24
2019,100.0,floor,11426,3631,0.3177840014003151,3628,0
2023,100.0,floor,30029,22817,0.759832162243165,15360,438
2019,100.0,nearest,11426,1487,0.1301417819009277,1486,0
2023,100.0,nearest,30029,11670,0.3886243298145126,7596,252
2019,100.0,plusminus60,11426,3772,0.33012427796254157,3768,0
2023,100.0,plusminus60,30029,22839,0.7605647873722069,15375,440
2019,250.0,floor,11426,4876,0.42674601785401717,4827,71
2023,250.0,floor,30029,26834,0.8936028505777748,15832,2956
2019,250.0,nearest,11426,2317,0.20278312620339575,2306,58
2023,250.0,nearest,30029,12064,0.40174497985280894,7833,855
2019,250.0,plusminus60,11426,5147,0.45046385436723263,5095,93
2023,250.0,plusminus60,30029,26899,0.8957674248226715,15871,2963
2019,500.0,floor,11426,7465,0.6533345002625591,7314,2473
2023,500.0,floor,30029,27250,0.907456125745113,15947,16903
2019,500.0,nearest,11426,3580,0.31332049711185017,3535,1290
2023,500.0,nearest,30029,12186,0.4058077192047687,7882,8110
2019,500.0,plusminus60,11426,7905,0.6918431647120602,7707,2659
2023,500.0,plusminus60,30029,27333,0.9102201205501349,15988,16915
2019,1000.0,floor,11426,7890,0.6905303693331,7521,4165
2023,1000.0,floor,30029,27326,0.9099870125545306,15978,21002
2019,1000.0,nearest,11426,3863,0.33808856992823383,3695,2216
2023,1000.0,nearest,30029,12222,0.40700656032501914,7899,9352
2019,1000.0,plusminus60,11426,8405,0.7356030106774024,7966,4508
2023,1000.0,plusminus60,30029,27409,0.9127510073595524,16019,21032
2019,2000.0,floor,11426,8122,0.7108349378610187,7564,6635
2023,2000.0,floor,30029,27343,0.9105531319724266,15980,23011
2019,2000.0,nearest,11426,4000,0.3500787677227376,3738,3249
2023,2000.0,nearest,30029,12232,0.40733957174731095,7901,10231
2019,2000.0,plusminus60,11426,8685,0.760108524417994,8028,7065
2023,2000.0,plusminus60,30029,27426,0.9133171267774485,16021,23071
