scope,year,rule,archive_rows,listed_and_selected,unlisted_selected,listed_missed,unlisted_not_selected,selected,listed,listed_recall,listed_precision_proxy,listed_f1_proxy
regional_bbox,2019,r=1km;t=30min;n>=2,192749,5433,152065,1881,33370,157498,7314,0.7428219852337982,0.034495676135569975,0.06592966531563235
regional_bbox,2019,r=2km;t=30min;n>=2,192749,6523,161325,791,24110,167848,7314,0.8918512441892261,0.03886254230017635,0.07447962457610668
regional_bbox,2019,r=1km;t=0min;n>=2,192749,4024,145594,3290,39841,149618,7314,0.5501777413180202,0.02689515967330134,0.05128335839726761
regional_bbox,2019,quoted_same_satellite,192749,3852,145577,3462,39858,149429,7314,0.5266611977030353,0.025778128743416607,0.049150520278417535
regional_bbox,2019,quoted_other_satellite,192749,2800,38646,4514,146789,41446,7314,0.3828274541974296,0.06755778603484051,0.11484823625922888
regional_bbox,2019,quoted_different_time,192749,2544,38678,4770,146757,41222,7314,0.34782608695652173,0.0617146184076464,0.10482940497774848
regional_bbox,2019,quoted_prior_strict,192749,1175,19216,6139,166219,20391,7314,0.16065080667213563,0.057623461330979356,0.08482223425374481
regional_bbox,2019,all_hotspots,192749,7314,185435,0,0,192749,7314,1.0,0.037945722156794585,0.07311696815503116
regional_bbox,2023,r=1km;t=30min;n>=2,74782,12436,41941,3511,16894,54377,15947,0.7798331974666082,0.22869963403644925,0.35367726522950915
regional_bbox,2023,r=2km;t=30min;n>=2,74782,13427,45254,2520,13581,58681,15947,0.8419765473129742,0.22881341490431314,0.359838130460417
regional_bbox,2023,r=1km;t=0min;n>=2,74782,11860,39632,4087,19203,51492,15947,0.7437135511381451,0.23032704109376215,0.35172526283011313
regional_bbox,2023,quoted_same_satellite,74782,11888,39723,4059,19112,51611,15947,0.7454693672791121,0.23033849373195636,0.3519346339441665
regional_bbox,2023,quoted_other_satellite,74782,2416,8576,13531,50259,10992,15947,0.15150184987771995,0.2197962154294032,0.17936820223467834
regional_bbox,2023,quoted_different_time,74782,2537,8723,13410,50112,11260,15947,0.15908948391546998,0.22531083481349912,0.1864961223214614
regional_bbox,2023,quoted_prior_strict,74782,1054,3884,14893,54951,4938,15947,0.06609393616354173,0.2134467395706764,0.10093368446253292
regional_bbox,2023,all_hotspots,74782,15947,58835,0,0,74782,15947,1.0,0.21324650316921184,0.3515303816861202
within_5km_observed_footprint,2019,r=1km;t=30min;n>=2,72382,5433,56324,1881,8744,61757,7314,0.7428219852337982,0.08797383292582217,0.15731638458976996
within_5km_observed_footprint,2019,r=2km;t=30min;n>=2,72382,6523,59257,791,5811,65780,7314,0.8918512441892261,0.09916387959866221,0.17848250198374696
within_5km_observed_footprint,2019,r=1km;t=0min;n>=2,72382,4024,54918,3290,10150,58942,7314,0.5501777413180202,0.06827050320654203,0.12146824438541415
