year,Sumber,Satellite,satellite_name,rows,median_distance_m
2019,ASMC,NOAA20,Aqua,2,53.83380353925476
2019,ASMC,NOAA20,SNPP,1,51.89148430528846
2019,LAPAN,Aqua,NOAA20,9,52.22408290961186
2019,LAPAN,Aqua,SNPP,18,76.17122596713224
2019,LAPAN,SNPP,Aqua,5,68.5903219451511
2019,LAPAN,SNPP,NOAA20,15,61.68685402540823
2019,LAPAN,Terra,Aqua,1,92.78203876597718
2019,LAPAN,Terra,SNPP,2,37.59449388858283
2023,LAPAN,Aqua,SNPP,1,98.36701518407307
2023,LAPAN,Aqua,Terra,194,25.921383751894275
2023,LAPAN,NOAA20,SNPP,10,62.129356359467174
2023,LAPAN,SNPP,NOAA20,3,56.02526361785378
2023,NASA,Aqua,SNPP,2,49.73135469882461
2023,NASA,Aqua,Terra,559,4.447803209399471
