Longitude,Latitude,Tgl_Hotspot,Sumber,Satellite,Status,Region,excel_row,sheet,customer_id,year
103.102622986,-0.90571898222,2019-05-26 10:00:00,LAPAN,Unknown,Verified No fire,JAMBI SMF,102,2019,2019:102,2019
103.099830627,-0.904422342777,2019-05-26 13:00:00,LAPAN,Unknown,Verified No fire,JAMBI SMF,106,2019,2019:106,2019
103.240859985,-1.05958819389,2019-06-04 10:00:00,LAPAN,Unknown,Verified No fire,JAMBI SMF,109,2019,2019:109,2019
103.47328186,-1.06019628048,2019-06-20 13:00:00,LAPAN,Unknown,Verified No fire,JAMBI SMF,112,2019,2019:112,2019
103.108161926,-0.906693577766,2019-06-27 10:00:00,LAPAN,Unknown,Verified No fire,JAMBI SMF,118,2019,2019:118,2019
103.10610199,-0.909417450428,2019-06-27 13:00:00,LAPAN,Unknown,Verified No fire,JAMBI SMF,120,2019,2019:120,2019
103.482749939,-1.08689498901,2019-06-27 13:00:00,LAPAN,Unknown,Verified No fire,JAMBI SMF,121,2019,2019:121,2019
105.442443848,-3.00986838341,2019-07-01 13:00:00,LAPAN,Unknown,Verified No fire,SUMSEL,130,2019,2019:130,2019
103.109680176,-0.96216237545,2019-07-04 10:00:00,LAPAN,Unknown,Verified No fire,JAMBI SMF,131,2019,2019:131,2019
105.489936829,-2.92297124863,2019-07-04 10:00:00,LAPAN,Unknown,Verified No fire,SUMSEL,133,2019,2019:133,2019
103.75554657,-1.37327504158,2019-07-06 10:00:00,LAPAN,Unknown,Verified No fire,JAMBI SMF,136,2019,2019:136,2019
105.284721375,-2.74873876572,2019-07-06 10:00:00,LAPAN,Unknown,Verified No fire,SUMSEL,137,2019,2019:137,2019
105.309616089,-3.03666567802,2019-07-06 13:00:00,LAPAN,Unknown,Verified No fire,SUMSEL,139,2019,2019:139,2019
103.117301941,-0.962675273418,2019-07-11 10:00:00,LAPAN,Unknown,Verified No fire,JAMBI SMF,140,2019,2019:140,2019
105.409942627,-2.69735240936,2019-07-12 09:00:00,LAPAN,Unknown,Verified No fire,SUMSEL,142,2019,2019:142,2019
