Longitude,Latitude,Tgl_Hotspot,Sumber,Satellite,Status,Region,excel_row,sheet,customer_id,year,customer_index,sid,distance_km,delta_minutes,same_satellite,unknown_satellite,time_residual_minutes,candidate_count,satellite_name,utc
103.94884491,-1.87750923634,2019-08-16 00:00:00,LAPAN,Aqua,Fire inside Sitrep,SUMSEL MUBA,440,2019,2019:440,2019,438,906315,0.01929603136451069,363.0,False,False,-57.0,1,SNPP,2019-08-15 17:57:00
103.922775269,-1.84140777588,2019-08-16 00:00:00,LAPAN,Aqua,Fire inside Sitrep,SUMSEL MUBA,450,2019,2019:450,2019,448,906210,0.06319631427589104,363.0,False,False,-57.0,1,SNPP,2019-08-15 17:57:00
103.90999603,-1.85574853,2019-08-17 01:00:00,LAPAN,Terra,Fire inside Sitrep,SUMSEL MUBA,566,2019,2019:566,2019,564,16913,0.09278203876597718,374.0,False,False,-46.0,1,Aqua,2019-08-16 18:46:00
101.96125031,-0.96895462,2019-09-05 13:00:00,LAPAN,SNPP,Verified Fire,JAMBI SMF,1175,2019,2019:1175,2019,1173,273687,0.06842887496456658,409.0,False,False,-11.0,1,NOAA20,2019-09-05 06:11:00
103.681022644,-1.44728219509,2019-09-08 13:00:00,LAPAN,Aqua,Verified Fire,JAMBI SMF,1418,2019,2019:1418,2019,1416,976857,0.05534739185084673,414.0,False,False,-6.0,1,SNPP,2019-09-08 06:06:00
102.78954315,-1.41857708,2019-09-09 00:00:00,LAPAN,SNPP,Verified Fire,JAMBI SMF,1504,2019,2019:1504,2019,1502,291977,0.08161252145431526,364.0,False,False,-56.0,1,NOAA20,2019-09-08 17:56:00
103.24067688,-2.39960813522,2019-09-11 13:00:00,LAPAN,Aqua,Verified No fire,SUMSEL MUBA,2051,2019,2019:2051,2019,2049,1000714,0.07430192301595036,371.0,False,False,-49.0,1,SNPP,2019-09-11 06:49:00
102.795471191,-1.41144788265,2019-09-11 13:00:00,LAPAN,Aqua,Verified Fire,JAMBI SMF,2059,2019,2019:2059,2019,2057,1004289,0.06972889885387913,370.0,False,False,-50.0,1,SNPP,2019-09-11 06:50:00
101.911529541,-0.970069110394,2019-09-11 13:00:00,LAPAN,Aqua,Verified Fire,JAMBI SMF,2065,2019,2019:2065,2019,2063,1004074,0.08655445476949827,370.0,False,False,-50.0,1,SNPP,2019-09-11 06:50:00
103.768051147,-1.32570028305,2019-09-11 13:00:00,LAPAN,Aqua,Verified Fire,JAMBI SMF,2067,2019,2019:2067,2019,2065,1004437,0.08438827872477708,370.0,False,False,-50.0,1,SNPP,2019-09-11 06:50:00
103.322654724,-0.95420050621,2019-09-11 13:00:00,LAPAN,Aqua,Verified Fire,JAMBI SMF,2076,2019,2019:2076,2019,2074,1004197,0.01952161237080544,370.0,False,False,-50.0,1,SNPP,2019-09-11 06:50:00
103.781745911,-1.31188309193,2019-09-11 13:00:00,LAPAN,Aqua,Verified Fire,JAMBI SMF,2107,2019,2019:2107,2019,2105,1004394,0.08800456496880443,370.0,False,False,-50.0,1,SNPP,2019-09-11 06:50:00
103.866661072,-1.84988319874,2019-09-11 13:00:00,LAPAN,Aqua,Fire inside Sitrep,SUMSEL MUBA,2122,2019,2019:2122,2019,2120,1003255,0.04110976139135599,371.0,False,False,-49.0,1,SNPP,2019-09-11 06:49:00
104.104660034,-1.69675791264,2019-09-12 12:00:00,LAPAN,Aqua,Fire inside Sitrep,SUMSEL MUBA,2229,2019,2019:2229,2019,2227,324970,0.07504240551259514,381.0,False,False,-39.0,1,NOAA20,2019-09-12 05:39:00
105.33132935,-3.13709426,2019-09-16 13:00:00,LAPAN,Aqua,Verified Fire,SUMSEL,2739,2019,2019:2739,2019,2737,1053609,0.0901885921981805,365.0,False,False,-55.0,1,SNPP,2019-09-16 06:55:00
105.30086517,-2.68440008,2019-09-16 13:00:00,LAPAN,Aqua,Verified No fire,SUMSEL,2740,2019,2019:2740,2019,2738,1053503,0.0962251446410736,365.0,False,False,-55.0,1,SNPP,2019-09-16 06:55:00
103.5721817,-1.26628745,2019-09-20 00:00:00,LAPAN,SNPP,Verified Fire,JAMBI SMF,3202,2019,2019:3202,2019,3200,394632,0.034933360162300905,370.0,False,False,-50.0,1,NOAA20,2019-09-19 17:50:00
101.95819855,-1.07390845,2019-09-20 13:00:00,LAPAN,SNPP,Verified Fire,JAMBI SMF,3412,2019,2019:3412,2019,3410,55426,0.0685903219451511,365.0,False,False,-55.0,1,Aqua,2019-09-20 06:55:00
103.944541931,-1.95063555241,2019-09-20 13:00:00,LAPAN,Aqua,Fire inside Sitrep,SUMSEL MUBA,3462,2019,2019:3462,2019,3460,398198,0.04462430663719419,390.0,False,False,-30.0,1,NOAA20,2019-09-20 06:30:00
101.9582,-1.0739,2019-09-20 13:00:00,ASMC,NOAA20,Verified Fire,JAMBI SMF,3474,2019,2019:3474,2019,3472,55426,0.06763700587838174,365.0,False,False,-55.0,1,Aqua,2019-09-20 06:55:00
103.941856384,-1.9573379755,2019-09-22 13:00:00,LAPAN,Aqua,Fire inside Sitrep,SUMSEL MUBA,3999,2019,2019:3999,2019,3997,1102608,0.025581228179038254,377.0,False,False,-43.0,1,SNPP,2019-09-22 06:43:00
105.835,-3.85806,2019-09-24 13:00:00,LAPAN,SNPP,Verified Fire,SUMSEL,4265,2019,2019:4265,2019,4263,427919,0.09984878076322955,366.0,False,False,-54.0,1,NOAA20,2019-09-24 06:54:00
105.53516388,-3.86809611,2019-09-30 13:00:00,LAPAN,SNPP,Verified Fire,SUMSEL,4543,2019,2019:4543,2019,4541,447980,0.023499012488344524,378.0,False,False,-42.0,1,NOAA20,2019-09-30 06:42:00
103.78844452,-1.35804868,2019-10-05 13:00:00,LAPAN,SNPP,Verified Fire,JAMBI SMF,4979,2019,2019:4979,2019,4977,457541,0.06741073401746712,371.0,False,False,-49.0,1,NOAA20,2019-10-05 06:49:00
103.83621216,-1.34508383,2019-10-05 13:00:00,LAPAN,SNPP,Verified Fire,JAMBI SMF,5001,2019,2019:5001,2019,4999,457549,0.06168685402540823,371.0,False,False,-49.0,1,NOAA20,2019-10-05 06:49:00
104.26926422,-1.99122941,2019-10-07 00:00:00,LAPAN,SNPP,Verified Fire,SUMSEL MUBA,5070,2019,2019:5070,2019,5068,460123,0.03106462685472894,389.0,False,False,-31.0,1,NOAA20,2019-10-06 17:31:00
104.2833252,-1.99356937,2019-10-07 00:00:00,LAPAN,SNPP,Fire inside Sitrep,SUMSEL MUBA,5073,2019,2019:5073,2019,5071,460121,0.02332026497887424,389.0,False,False,-31.0,1,NOAA20,2019-10-06 17:31:00
105.513038635,-3.25830888748,2019-10-08 13:00:00,LAPAN,Aqua,Fire inside Sitrep,SUMSEL,5112,2019,2019:5112,2019,5110,1149566,0.0905144043688272,377.0,False,False,-43.0,1,SNPP,2019-10-08 06:43:00
105.6607132,-3.96828699,2019-10-10 13:00:00,LAPAN,SNPP,Verified Fire,SUMSEL,5242,2019,2019:5242,2019,5240,69409,0.06679147423956172,391.0,False,False,-29.0,1,Aqua,2019-10-10 06:29:00
104.311393738,-2.0263633728,2019-10-10 13:00:00,LAPAN,Aqua,Fire inside Sitrep,SUMSEL MUBA,5336,2019,2019:5336,2019,5334,468921,0.05947123544572564,365.0,False,False,-55.0,1,NOAA20,2019-10-10 06:55:00
103.95333099,-1.9374305,2019-10-11 00:00:00,LAPAN,SNPP,Fire inside Sitrep,SUMSEL MUBA,5370,2019,2019:5370,2019,5368,469450,0.05986483421383478,364.0,False,False,-56.0,1,NOAA20,2019-10-10 17:56:00
105.69591522,-3.68863606,2019-10-13 12:00:00,LAPAN,Aqua,Verified Fire,SUMSEL,5654,2019,2019:5654,2019,5652,475561,0.08891061262764387,362.0,False,False,-58.0,1,NOAA20,2019-10-13 05:58:00
104.05121613,-2.0093224,2019-10-13 12:00:00,LAPAN,Aqua,Verified Fire,SUMSEL MUBA,5806,2019,2019:5806,2019,5804,476549,0.037104482514192114,362.0,False,False,-58.0,1,NOAA20,2019-10-13 05:58:00
105.327575684,-3.14343476295,2019-10-13 13:00:00,LAPAN,Aqua,Fire inside Sitrep,SUMSEL,5882,2019,2019:5882,2019,5880,1162892,0.049441600846932506,371.0,False,False,-49.0,1,SNPP,2019-10-13 06:49:00
105.560661316,-3.82868385315,2019-10-13 13:00:00,LAPAN,Aqua,Fire inside Sitrep,SUMSEL,5944,2019,2019:5944,2019,5942,1162516,0.0907127975007412,371.0,False,False,-49.0,1,SNPP,2019-10-13 06:49:00
105.45905304,-3.71433520317,2019-10-13 13:00:00,LAPAN,Aqua,Verified Fire,SUMSEL,5951,2019,2019:5951,2019,5949,1162382,0.08445438886382395,371.0,False,False,-49.0,1,SNPP,2019-10-13 06:49:00
104.30979156,-2.04519749,2019-10-14 01:00:00,LAPAN,Aqua,Fire inside Sitrep,SUMSEL MUBA,5979,2019,2019:5979,2019,5977,478030,0.052224082909611856,380.0,False,False,-40.0,1,NOAA20,2019-10-13 18:40:00
104.31971741,-2.03916717,2019-10-14 01:00:00,LAPAN,Aqua,Fire inside Sitrep,SUMSEL MUBA,5982,2019,2019:5982,2019,5980,478017,0.047256514328377255,380.0,False,False,-40.0,1,NOAA20,2019-10-13 18:40:00
105.317,-2.6476,2019-10-15 13:00:00,ASMC,NOAA20,Verified Fire,SUMSEL,6263,2019,2019:6263,2019,6261,1173180,0.051891484305288456,409.0,False,False,-11.0,1,SNPP,2019-10-15 06:11:00
105.21569061,-3.03073692,2019-10-16 13:00:00,LAPAN,SNPP,Verified Fire,SUMSEL,6462,2019,2019:6462,2019,6460,489819,0.0768208963401311,378.0,False,False,-42.0,1,NOAA20,2019-10-16 06:42:00
104.04575348,-2.00708175,2019-10-17 00:00:00,LAPAN,SNPP,Verified Fire,SUMSEL MUBA,6492,2019,2019:6492,2019,6490,490266,0.061451848669278185,376.0,False,False,-44.0,1,NOAA20,2019-10-16 17:44:00
104.29801178,-2.00917816,2019-10-24 01:00:00,LAPAN,Terra,Fire inside Sitrep,SUMSEL MUBA,7204,2019,2019:7204,2019,7202,1203986,0.02733444052591265,417.0,False,False,-3.0,1,SNPP,2019-10-23 18:03:00
105.60388947,-3.77319455,2019-10-24 01:00:00,LAPAN,Terra,Verified Fire,SUMSEL,7224,2019,2019:7224,2019,7222,1204738,0.047854547251253016,416.0,False,False,-4.0,1,SNPP,2019-10-23 18:04:00
103.41047668,-2.43504834,2019-10-24 12:00:00,LAPAN,Aqua,Verified No fire,SUMSEL MUBA,7389,2019,2019:7389,2019,7387,520071,0.09795292533526516,368.0,False,False,-52.0,1,NOAA20,2019-10-24 05:52:00
105.5527,-3.8111,2019-10-31 13:00:00,ASMC,NOAA20,Verified Fire,SUMSEL,8291,2019,2019:8291,2019,8289,81207,0.040030601200127774,372.0,False,False,-48.0,1,Aqua,2019-10-31 06:48:00
105.78126526,-3.76338601,2019-11-06 01:00:00,LAPAN,SNPP,Verified Fire,SUMSEL,8641,2019,2019:8641,2019,8639,540094,0.05760280038341601,411.0,False,False,-9.0,1,NOAA20,2019-11-05 18:09:00
105.548187256,-2.80527663231,2019-11-11 01:00:00,LAPAN,Aqua,Verified No fire,SUMSEL,10292,2019,2019:10292,2019,10290,553198,0.040827124257149475,405.0,False,False,-15.0,1,NOAA20,2019-11-10 18:15:00
105.255,-2.94375,2019-11-11 13:00:00,LAPAN,SNPP,Verified Fire,SUMSEL,10422,2019,2019:10422,2019,10420,554930,0.08058924784711442,365.0,False,False,-55.0,1,NOAA20,2019-11-11 06:55:00
105.213,-3.06477,2019-11-11 13:00:00,LAPAN,SNPP,Verified Fire,SUMSEL,10423,2019,2019:10423,2019,10421,85433,0.06925150695692626,391.0,False,False,-29.0,1,Aqua,2019-11-11 06:29:00
105.612,-3.33798,2019-11-11 13:00:00,LAPAN,SNPP,Verified Fire,SUMSEL,10428,2019,2019:10428,2019,10426,85466,0.09741807621571082,391.0,False,False,-29.0,1,Aqua,2019-11-11 06:29:00
105.76,-3.53952,2019-11-11 13:00:00,LAPAN,SNPP,Verified Fire,SUMSEL,10508,2019,2019:10508,2019,10506,554738,0.0884636827495206,366.0,False,False,-54.0,1,NOAA20,2019-11-11 06:54:00
105.81130981,-3.8857522,2019-11-11 13:00:00,LAPAN,Aqua,Verified Fire,SUMSEL,10613,2019,2019:10613,2019,10611,1242856,0.07804052891831414,415.0,False,False,-5.0,1,SNPP,2019-11-11 06:05:00
105.75872803,-3.43602252,2019-11-29 13:00:00,LAPAN,SNPP,Verified Fire,SUMSEL,11227,2019,2019:11227,2019,11225,88820,0.048133453675846795,403.0,False,False,-17.0,1,Aqua,2019-11-29 06:17:00
103.10497,-0.8974,2023-02-14 10:00:00,NASA,Aqua,Verified No fire,JAMBI SMF,10,2023,2023:10,2023,11434,90884,0.0033354432474587466,416.0,False,False,-4.0,1,Terra,2023-02-14 03:04:00
105.41003,-3.13477,2023-03-08 10:00:00,NASA,Aqua,Verified No fire,SUMSEL,74,2023,2023:74,2023,11498,91164,0.004714079452755688,396.0,False,False,-24.0,1,Terra,2023-03-08 03:24:00
103.48235,-1.08476,2023-03-20 10:00:00,NASA,Aqua,Verified No fire,JAMBI SMF,213,2023,2023:213,2023,11637,91468,0.007119181071679829,396.0,False,False,-24.0,1,Terra,2023-03-20 03:24:00
105.56316,-2.76191,2023-03-22 10:00:00,NASA,Aqua,Verified No fire,SUMSEL,216,2023,2023:216,2023,11640,91489,0.004579678454220157,411.0,False,False,-9.0,1,Terra,2023-03-22 03:09:00
105.55409,-2.7606,2023-03-22 10:00:00,NASA,Aqua,Verified No fire,SUMSEL,217,2023,2023:217,2023,11641,91488,0.001110660375593119,411.0,False,False,-9.0,1,Terra,2023-03-22 03:09:00
105.52071,-2.97681,2023-03-22 10:00:00,NASA,Aqua,Verified No fire,SUMSEL,218,2023,2023:218,2023,11642,91491,0.001571475304066997,411.0,False,False,-9.0,1,Terra,2023-03-22 03:09:00
105.563293457,-2.76173400879,2023-03-22 10:00:00,LAPAN,Aqua,Verified No fire,SUMSEL,219,2023,2023:219,2023,11643,91489,0.02117588035565964,411.0,False,False,-9.0,1,Terra,2023-03-22 03:09:00
105.51163,-2.97548,2023-03-22 10:00:00,NASA,Aqua,Verified No fire,SUMSEL,220,2023,2023:220,2023,11644,91490,0.0040054544377032195,411.0,False,False,-9.0,1,Terra,2023-03-22 03:09:00
103.63507,-1.27025,2023-04-18 10:00:00,NASA,Aqua,Verified No fire,JAMBI SMF,378,2023,2023:378,2023,11802,92104,0.006483309890481224,386.0,False,False,-34.0,1,Terra,2023-04-18 03:34:00
103.48782,-1.06959,2023-05-14 10:00:00,NASA,Aqua,Verified No fire,JAMBI SMF,555,2023,2023:555,2023,11979,92848,0.0024860510027741502,402.0,False,False,-18.0,1,Terra,2023-05-14 03:18:00
