year,mode,utc_offset_hours,matched,customer_rows,coverage
2019,floor,-12,0,11426,0.0
2023,floor,-12,0,30029,0.0
2019,floor,-11,0,11426,0.0
2023,floor,-11,0,30029,0.0
2019,floor,-10,0,11426,0.0
2023,floor,-10,0,30029,0.0
2019,floor,-9,0,11426,0.0
2023,floor,-9,1,30029,3.330114222917846e-05
2019,floor,-8,0,11426,0.0
2023,floor,-8,0,30029,0.0
2019,floor,-7,6,11426,0.0005251181515841065
2023,floor,-7,0,30029,0.0
2019,floor,-6,71,11426,0.006213898127078592
2023,floor,-6,257,30029,0.008558393552898865
2019,floor,-5,76,11426,0.006651496586732014
2023,floor,-5,74,30029,0.002464284524959206
2019,floor,-4,29,11426,0.0025380710659898475
2023,floor,-4,137,30029,0.0045622564853974494
2019,floor,-3,0,11426,0.0
2023,floor,-3,15,30029,0.0004995171334376769
2019,floor,-2,0,11426,0.0
2023,floor,-2,0,30029,0.0
2019,floor,-1,1,11426,8.751969193068441e-05
2023,floor,-1,0,30029,0.0
2019,floor,0,0,11426,0.0
2023,floor,0,0,30029,0.0
2019,floor,1,0,11426,0.0
2023,floor,1,0,30029,0.0
2019,floor,2,0,11426,0.0
2023,floor,2,0,30029,0.0
2019,floor,3,0,11426,0.0
2023,floor,3,0,30029,0.0
2019,floor,4,0,11426,0.0
2023,floor,4,0,30029,0.0
2019,floor,5,8,11426,0.0007001575354454753
2023,floor,5,35,30029,0.0011655399780212462
2019,floor,6,374,11426,0.032732364782075966
2023,floor,6,725,30029,0.024143328116154383
2019,floor,7,3631,11426,0.3177840014003151
2023,floor,7,22817,30029,0.759832162243165
2019,floor,8,35,11426,0.003063189217573954
2023,floor,8,1,30029,3.330114222917846e-05
2019,floor,9,4,11426,0.00035007876772273763
2023,floor,9,16,30029,0.0005328182756668553
2019,floor,10,0,11426,0.0
2023,floor,10,0,30029,0.0
2019,floor,11,0,11426,0.0
2023,floor,11,0,30029,0.0
2019,floor,12,0,11426,0.0
2023,floor,12,0,30029,0.0
2019,floor,13,0,11426,0.0
2023,floor,13,0,30029,0.0
2019,floor,14,0,11426,0.0
2023,floor,14,0,30029,0.0
2019,nearest,-12,0,11426,0.0
2023,nearest,-12,0,30029,0.0
2019,nearest,-11,0,11426,0.0
2023,nearest,-11,0,30029,0.0
2019,nearest,-10,0,11426,0.0
2023,nearest,-10,1,30029,3.330114222917846e-05
2019,nearest,-9,0,11426,0.0
2023,nearest,-9,0,30029,0.0
2019,nearest,-8,0,11426,0.0
2023,nearest,-8,0,30029,0.0
2019,nearest,-7,26,11426,0.0022755119901977944
2023,nearest,-7,130,30029,0.0043291484897932
2019,nearest,-6,101,11426,0.008839488884999126
2023,nearest,-6,206,30029,0.0068600352992107625
2019,nearest,-5,48,11426,0.004200945212672852
2023,nearest,-5,115,30029,0.003829631356355523
2019,nearest,-4,7,11426,0.0006126378435147909
2023,nearest,-4,44,30029,0.0014652502580838522
