customer_id,year,Sumber,Satellite,primary_500m,same_sat_2km,any_sat_500m,same_sat_wide_time_500m
2019:11,2019,LAPAN,Aqua,False,False,False,False
2019:12,2019,LAPAN,Aqua,False,False,False,False
2019:15,2019,LAPAN,Aqua,False,False,False,False
2019:18,2019,LAPAN,SNPP,False,False,False,False
2019:22,2019,LAPAN,Aqua,False,False,False,False
2019:23,2019,LAPAN,Aqua,False,False,False,False
2019:24,2019,LAPAN,Aqua,False,False,False,False
2019:25,2019,ASMC,NOAA20,False,False,False,False
2019:26,2019,LAPAN,Terra,False,False,False,False
2019:30,2019,LAPAN,SNPP,False,False,False,False
2019:31,2019,LAPAN,Aqua,False,False,False,False
2019:35,2019,LAPAN,Aqua,False,False,False,False
2019:38,2019,LAPAN,SNPP,False,False,False,False
2019:39,2019,LAPAN,Terra,False,False,False,False
2019:43,2019,LAPAN,Terra,False,False,False,False
2019:46,2019,LAPAN,Aqua,False,False,False,False
2019:47,2019,LAPAN,Terra,False,False,False,False
2019:51,2019,LAPAN,Aqua,False,False,False,False
2019:52,2019,LAPAN,Aqua,False,False,False,False
2019:53,2019,LAPAN,Aqua,False,False,False,False
2019:55,2019,LAPAN,Aqua,False,False,False,False
2019:57,2019,LAPAN,Terra,False,False,False,False
2019:58,2019,LAPAN,Aqua,False,False,False,False
2019:62,2019,LAPAN,Terra,False,False,False,False
2019:65,2019,LAPAN,Aqua,False,False,False,False
2019:66,2019,LAPAN,Aqua,False,False,False,False
2019:67,2019,LAPAN,SNPP,False,False,False,False
2019:72,2019,LAPAN,SNPP,False,False,False,False
2019:76,2019,LAPAN,Aqua,False,False,False,False
2019:77,2019,LAPAN,Aqua,False,False,False,False
2019:78,2019,LAPAN,Aqua,False,False,False,False
2019:81,2019,LAPAN,Aqua,False,False,False,False
2019:82,2019,LAPAN,Aqua,False,False,False,False
2019:89,2019,LAPAN,Aqua,False,False,False,False
2019:92,2019,LAPAN,Aqua,False,False,False,False
2019:93,2019,LAPAN,SNPP,False,False,False,False
2019:94,2019,LAPAN,Terra,False,False,False,False
2019:96,2019,LAPAN,Terra,False,False,False,False
2019:100,2019,LAPAN,Terra,False,False,False,False
2019:101,2019,LAPAN,Aqua,False,False,False,False
2019:102,2019,LAPAN,Unknown,False,False,True,False
2019:106,2019,LAPAN,Unknown,False,False,True,False
2019:108,2019,LAPAN,Aqua,False,False,False,False
2019:109,2019,LAPAN,Unknown,False,False,False,False
2019:110,2019,ASMC,NOAA20,False,False,False,False
2019:111,2019,LAPAN,Aqua,False,False,False,False
2019:112,2019,LAPAN,Unknown,False,False,True,False
2019:114,2019,LAPAN,Aqua,False,True,False,False
2019:115,2019,LAPAN,Terra,False,False,False,False
2019:116,2019,LAPAN,Terra,False,False,False,False
2019:118,2019,LAPAN,Unknown,False,False,True,False
2019:120,2019,LAPAN,Unknown,False,False,True,False
2019:121,2019,LAPAN,Unknown,False,False,True,False
2019:125,2019,LAPAN,Aqua,False,True,False,False
2019:128,2019,LAPAN,Aqua,False,False,False,False
2019:129,2019,LAPAN,Terra,False,False,False,False
2019:130,2019,LAPAN,Unknown,False,False,False,False
2019:131,2019,LAPAN,Unknown,False,False,True,False
2019:133,2019,LAPAN,Unknown,False,False,True,False
2019:135,2019,LAPAN,SNPP,False,False,False,False
2019:136,2019,LAPAN,Unknown,False,False,True,False
2019:137,2019,LAPAN,Unknown,False,False,True,False
2019:139,2019,LAPAN,Unknown,False,False,True,False
2019:140,2019,LAPAN,Unknown,False,False,True,False
2019:142,2019,LAPAN,Unknown,False,False,True,False
2019:143,2019,LAPAN,Unknown,False,False,False,False
2019:144,2019,LAPAN,Unknown,False,False,False,False
2019:145,2019,LAPAN,Aqua,False,False,False,False
2019:146,2019,LAPAN,Aqua,False,False,False,False
2019:149,2019,LAPAN,Unknown,False,False,True,False
2019:152,2019,ASMC,NOAA20,False,False,False,False
2019:153,2019,LAPAN,Terra,False,False,False,False
2019:157,2019,LAPAN,Aqua,False,False,False,False
2019:158,2019,LAPAN,Unknown,False,False,True,False
2019:162,2019,LAPAN,SNPP,False,False,True,False
2019:163,2019,LAPAN,Aqua,False,False,False,True
2019:164,2019,LAPAN,Unknown,False,False,True,False
2019:165,2019,LAPAN,Unknown,False,False,True,False
2019:166,2019,LAPAN,Aqua,False,False,False,False
